group,subject,action,ann_start,ann_end,imu_start,imu_end,imu_ok,csv_path
subject13_14,subject14,fall,2021-11-19 14:47:51.784,2021-11-19 14:47:55.632,2021-11-19 14:47:51.785,2021-11-19 14:47:55.627,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/fall/person13_14.subject14.fall.csv
subject13_14,subject14,setting_down,2021-11-19 14:48:09.761,2021-11-19 14:48:12.674,2021-11-19 14:48:09.766,2021-11-19 14:48:12.672,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/setting_down/person13_14.subject14.setting_down.csv
subject13_14,subject14,picking_up,2021-11-19 14:48:29.457,2021-11-19 14:48:32.476,2021-11-19 14:48:29.465,2021-11-19 14:48:32.472,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/picking_up/person13_14.subject14.picking_up.csv
subject13_14,subject14,transferring_object,2021-11-19 14:49:10.376,2021-11-19 14:49:13.384,2021-11-19 14:49:10.383,2021-11-19 14:49:13.380,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/transferring_object/person13_14.subject14.transferring_object.csv
subject13_14,subject14,loitering,2021-11-19 14:49:32.245,2021-11-19 14:49:38.105,2021-11-19 14:49:32.245,2021-11-19 14:49:38.098,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/loitering/person13_14.subject14.loitering.csv
subject13_14,subject14,carrying_heavy,2021-11-19 14:50:07.206,2021-11-19 14:50:11.989,2021-11-19 14:50:07.210,2021-11-19 14:50:11.987,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/carrying_heavy/person13_14.subject14.carrying_heavy.csv
subject13_14,subject14,talking,2021-11-19 14:50:36.166,2021-11-19 14:50:46.746,2021-11-19 14:50:36.172,2021-11-19 14:50:46.741,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/talking/person13_14.subject14.talking.csv
subject13_14,subject14,jumping,2021-11-19 14:51:03.098,2021-11-19 14:51:04.614,2021-11-19 14:51:03.102,2021-11-19 14:51:04.610,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/jumping/person13_14.subject14.jumping.csv
subject13_14,subject14,throwing,2021-11-19 14:51:20.036,2021-11-19 14:51:22.668,2021-11-19 14:51:20.037,2021-11-19 14:51:22.661,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/throwing/person13_14.subject14.throwing.csv
subject13_14,subject14,pointing,2021-11-19 14:51:31.196,2021-11-19 14:51:34.691,2021-11-19 14:51:31.199,2021-11-19 14:51:34.689,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/pointing/person13_14.subject14.pointing.csv
subject13_14,subject14,kicking,2021-11-19 14:51:42.205,2021-11-19 14:51:44.669,2021-11-19 14:51:42.211,2021-11-19 14:51:44.664,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/kicking/person13_14.subject14.kicking.csv
subject13_14,subject14,talking_on_phone,2021-11-19 14:51:55.241,2021-11-19 14:52:04.331,2021-11-19 14:51:55.243,2021-11-19 14:52:04.324,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/talking_on_phone/person13_14.subject14.talking_on_phone.csv
subject13_14,subject14,using_phone,2021-11-19 14:52:18.685,2021-11-19 14:52:27.131,2021-11-19 14:52:18.694,2021-11-19 14:52:27.122,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/using_phone/person13_14.subject14.using_phone.csv
subject13_14,subject14,waving_hand,2021-11-19 14:52:52.341,2021-11-19 14:52:57.271,2021-11-19 14:52:52.342,2021-11-19 14:52:57.270,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/waving_hand/person13_14.subject14.waving_hand.csv
subject13_14,subject14,checking_time,2021-11-19 14:53:22.670,2021-11-19 14:53:29.478,2021-11-19 14:53:22.672,2021-11-19 14:53:29.470,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/checking_time/person13_14.subject14.checking_time.csv
subject13_14,subject14,running,2021-11-19 14:53:46.342,2021-11-19 14:53:54.192,2021-11-19 14:53:46.344,2021-11-19 14:53:54.188,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/running/person13_14.subject14.running.csv
subject13_14,subject14,walking,2021-11-19 14:54:05.464,2021-11-19 14:54:10.234,2021-11-19 14:54:05.471,2021-11-19 14:54:10.228,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/walking/person13_14.subject14.walking.csv
subject13_14,subject14,crouching,2021-11-19 14:54:17.751,2021-11-19 14:54:21.441,2021-11-19 14:54:17.760,2021-11-19 14:54:21.441,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/crouching/person13_14.subject14.crouching.csv
subject13_14,subject14,standing,2021-11-19 14:54:31.127,2021-11-19 14:54:40.739,2021-11-19 14:54:31.135,2021-11-19 14:54:40.739,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject14/standing/person13_14.subject14.standing.csv
subject15_16,subject15,standing,2021-11-19 14:59:24.332,2021-11-19 14:59:29.822,2021-11-19 15:05:20.803,2021-11-19 15:05:26.157,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/standing/person15_16.subject15.standing.csv
subject15_16,subject15,crouching,2021-11-19 14:59:37.445,2021-11-19 14:59:45.555,2021-11-19 15:05:09.805,2021-11-19 15:05:14.453,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/crouching/person15_16.subject15.crouching.csv
subject15_16,subject15,walking,2021-11-19 14:59:54.411,2021-11-19 15:00:00.652,2021-11-19 15:04:55.902,2021-11-19 15:05:01.425,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/walking/person15_16.subject15.walking.csv
subject15_16,subject15,running,2021-11-19 15:00:10.068,2021-11-19 15:00:15.956,2021-11-19 15:04:41.561,2021-11-19 15:04:45.850,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/running/person15_16.subject15.running.csv
subject15_16,subject15,checking_time,2021-11-19 15:00:24.396,2021-11-19 15:00:29.108,2021-11-19 15:04:25.965,2021-11-19 15:04:35.619,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/checking_time/person15_16.subject15.checking_time.csv
subject15_16,subject15,waving_hand,2021-11-19 15:00:36.036,2021-11-19 15:00:42.187,2021-11-19 15:04:11.953,2021-11-19 15:04:18.053,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/waving_hand/person15_16.subject15.waving_hand.csv
subject15_16,subject15,using_phone,2021-11-19 15:00:49.501,2021-11-19 15:00:58.596,2021-11-19 15:03:55.999,2021-11-19 15:04:03.672,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/using_phone/person15_16.subject15.using_phone.csv
subject15_16,subject15,talking_on_phone,2021-11-19 15:01:05.036,2021-11-19 15:01:17.812,2021-11-19 15:03:11.871,2021-11-19 15:03:21.943,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/talking_on_phone/person15_16.subject15.talking_on_phone.csv
subject15_16,subject15,kicking,2021-11-19 15:01:27.430,2021-11-19 15:01:31.724,2021-11-19 15:02:58.445,2021-11-19 15:03:00.744,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/kicking/person15_16.subject15.kicking.csv
subject15_16,subject15,pointing,2021-11-19 15:01:39.440,2021-11-19 15:01:44.699,2021-11-19 15:02:42.701,2021-11-19 15:02:49.498,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/pointing/person15_16.subject15.pointing.csv
subject15_16,subject15,throwing,2021-11-19 15:01:54.435,2021-11-19 15:01:58.045,2021-11-19 15:02:24.807,2021-11-19 15:02:27.753,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/throwing/person15_16.subject15.throwing.csv
subject15_16,subject15,jumping,2021-11-19 15:02:05.515,2021-11-19 15:02:09.187,2021-11-19 15:02:08.774,2021-11-19 15:02:11.939,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/jumping/person15_16.subject15.jumping.csv
subject15_16,subject15,setting_down,2021-11-19 15:02:16.101,2021-11-19 15:02:22.771,2021-11-19 14:59:52.501,2021-11-19 14:59:59.288,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/setting_down/person15_16.subject15.setting_down.csv
subject15_16,subject15,talking,2021-11-19 15:02:29.228,2021-11-19 15:02:44.702,2021-11-19 15:01:46.989,2021-11-19 15:01:55.787,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/talking/person15_16.subject15.talking.csv
subject15_16,subject15,carrying_heavy,2021-11-19 15:03:11.370,2021-11-19 15:03:18.878,2021-11-19 15:03:11.373,2021-11-19 15:03:18.877,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/carrying_heavy/person15_16.subject15.carrying_heavy.csv
subject15_16,subject15,loitering,2021-11-19 15:03:38.503,2021-11-19 15:03:45.163,2021-11-19 15:01:21.870,2021-11-19 15:01:33.693,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/loitering/person15_16.subject15.loitering.csv
subject15_16,subject15,transferring_object,2021-11-19 15:04:05.515,2021-11-19 15:04:13.244,2021-11-19 15:00:51.277,2021-11-19 15:00:56.880,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/transferring_object/person15_16.subject15.transferring_object.csv
subject15_16,subject15,picking_up,2021-11-19 15:04:31.123,2021-11-19 15:04:37.259,2021-11-19 15:00:13.838,2021-11-19 15:00:17.958,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/picking_up/person15_16.subject15.picking_up.csv
subject15_16,subject15,fall,2021-11-19 15:04:48.226,2021-11-19 15:04:55.907,2021-11-19 14:59:30.746,2021-11-19 14:59:36.827,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject15/fall/person15_16.subject15.fall.csv
subject15_16,subject16,fall,2021-11-19 14:59:30.740,2021-11-19 14:59:36.827,2021-11-19 14:59:30.743,2021-11-19 14:59:36.827,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/fall/person15_16.subject16.fall.csv
subject15_16,subject16,setting_down,2021-11-19 14:59:52.497,2021-11-19 14:59:59.290,2021-11-19 14:59:52.505,2021-11-19 14:59:59.283,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/setting_down/person15_16.subject16.setting_down.csv
subject15_16,subject16,picking_up,2021-11-19 15:00:13.833,2021-11-19 15:00:17.959,2021-11-19 15:00:13.835,2021-11-19 15:00:17.958,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/picking_up/person15_16.subject16.picking_up.csv
subject15_16,subject16,transferring_object,2021-11-19 15:00:51.271,2021-11-19 15:00:56.887,2021-11-19 15:00:51.275,2021-11-19 15:00:56.887,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/transferring_object/person15_16.subject16.transferring_object.csv
subject15_16,subject16,loitering,2021-11-19 15:01:21.865,2021-11-19 15:01:33.701,2021-11-19 15:01:21.868,2021-11-19 15:01:33.694,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/loitering/person15_16.subject16.loitering.csv
subject15_16,subject16,talking,2021-11-19 15:01:46.982,2021-11-19 15:01:55.790,2021-11-19 15:01:46.989,2021-11-19 15:01:55.789,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/talking/person15_16.subject16.talking.csv
subject15_16,subject16,jumping,2021-11-19 15:02:08.774,2021-11-19 15:02:11.943,2021-11-19 15:02:08.782,2021-11-19 15:02:11.940,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/jumping/person15_16.subject16.jumping.csv
subject15_16,subject16,throwing,2021-11-19 15:02:24.804,2021-11-19 15:02:27.755,2021-11-19 15:02:24.812,2021-11-19 15:02:27.749,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/throwing/person15_16.subject16.throwing.csv
subject15_16,subject16,pointing,2021-11-19 15:02:42.695,2021-11-19 15:02:49.505,2021-11-19 15:02:42.703,2021-11-19 15:02:49.502,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/pointing/person15_16.subject16.pointing.csv
subject15_16,subject16,kicking,2021-11-19 15:02:58.442,2021-11-19 15:03:00.749,2021-11-19 15:02:58.442,2021-11-19 15:03:00.745,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/kicking/person15_16.subject16.kicking.csv
subject15_16,subject16,talking_on_phone,2021-11-19 15:03:11.866,2021-11-19 15:03:21.949,2021-11-19 15:03:11.868,2021-11-19 15:03:21.945,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/talking_on_phone/person15_16.subject16.talking_on_phone.csv
subject15_16,subject16,using_phone,2021-11-19 15:03:55.992,2021-11-19 15:04:03.673,2021-11-19 15:03:55.997,2021-11-19 15:04:03.670,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/using_phone/person15_16.subject16.using_phone.csv
subject15_16,subject16,waving_hand,2021-11-19 15:04:11.946,2021-11-19 15:04:18.061,2021-11-19 15:04:11.947,2021-11-19 15:04:18.061,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/waving_hand/person15_16.subject16.waving_hand.csv
subject15_16,subject16,checking_time,2021-11-19 15:04:25.956,2021-11-19 15:04:35.624,2021-11-19 15:04:25.956,2021-11-19 15:04:35.620,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/checking_time/person15_16.subject16.checking_time.csv
subject15_16,subject16,running,2021-11-19 15:04:41.554,2021-11-19 15:04:45.850,2021-11-19 15:04:41.554,2021-11-19 15:04:45.848,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/running/person15_16.subject16.running.csv
subject15_16,subject16,walking,2021-11-19 15:04:55.901,2021-11-19 15:05:01.433,2021-11-19 15:04:55.905,2021-11-19 15:05:01.426,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/walking/person15_16.subject16.walking.csv
subject15_16,subject16,crouching,2021-11-19 15:05:09.803,2021-11-19 15:05:14.459,2021-11-19 15:05:09.803,2021-11-19 15:05:14.459,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/crouching/person15_16.subject16.crouching.csv
subject15_16,subject16,standing,2021-11-19 15:05:20.800,2021-11-19 15:05:26.159,2021-11-19 15:05:20.805,2021-11-19 15:05:26.155,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person15_16/subject16/standing/person15_16.subject16.standing.csv
subject17_1,subject1,checking_time,2021-11-19 15:19:51.656,2021-11-19 15:20:00.422,2021-11-19 15:20:41.876,2021-11-19 15:20:47.547,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/checking_time/person17_1.subject1.checking_time.csv
subject17_1,subject1,waving_hand,2021-11-19 15:20:08.421,2021-11-19 15:20:12.228,2021-11-19 15:20:53.651,2021-11-19 15:20:57.421,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/waving_hand/person17_1.subject1.waving_hand.csv
subject17_1,subject1,using_phone,2021-11-19 15:20:28.804,2021-11-19 15:20:34.567,2021-11-19 15:21:04.339,2021-11-19 15:21:12.947,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/using_phone/person17_1.subject1.using_phone.csv
subject17_1,subject1,talking_on_phone,2021-11-19 15:20:47.086,2021-11-19 15:20:54.939,2021-11-19 15:21:20.035,2021-11-19 15:21:27.114,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/talking_on_phone/person17_1.subject1.talking_on_phone.csv
subject17_1,subject1,kicking,2021-11-19 15:21:00.284,2021-11-19 15:21:02.126,2021-11-19 15:21:45.083,2021-11-19 15:21:48.009,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/kicking/person17_1.subject1.kicking.csv
subject17_1,subject1,pointing,2021-11-19 15:21:08.170,2021-11-19 15:21:12.079,2021-11-19 15:21:57.481,2021-11-19 15:22:00.639,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/pointing/person17_1.subject1.pointing.csv
subject17_1,subject1,throwing,2021-11-19 15:21:17.539,2021-11-19 15:21:20.589,2021-11-19 15:22:05.364,2021-11-19 15:22:18.084,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/throwing/person17_1.subject1.throwing.csv
subject17_1,subject1,jumping,2021-11-19 15:21:26.476,2021-11-19 15:21:28.439,2021-11-19 15:22:23.454,2021-11-19 15:22:26.812,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/jumping/person17_1.subject1.jumping.csv
subject17_1,subject1,setting_down,2021-11-19 15:21:41.807,2021-11-19 15:21:43.664,2021-11-19 15:22:39.160,2021-11-19 15:22:43.233,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/setting_down/person17_1.subject1.setting_down.csv
subject17_1,subject1,talking,2021-11-19 15:21:54.497,2021-11-19 15:22:03.446,2021-11-19 15:22:49.779,2021-11-19 15:23:01.101,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/talking/person17_1.subject1.talking.csv
subject17_1,subject1,carrying_heavy,2021-11-19 15:22:29.903,2021-11-19 15:22:33.871,2021-11-19 15:23:27.858,2021-11-19 15:23:37.129,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/carrying_heavy/person17_1.subject1.carrying_heavy.csv
subject17_1,subject1,loitering,2021-11-19 15:22:57.588,2021-11-19 15:23:04.257,2021-11-19 15:23:56.033,2021-11-19 15:24:05.857,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/loitering/person17_1.subject1.loitering.csv
subject17_1,subject1,transferring_object,2021-11-19 15:23:37.055,2021-11-19 15:23:41.110,2021-11-19 15:24:33.479,2021-11-19 15:24:43.554,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/transferring_object/person17_1.subject1.transferring_object.csv
subject17_1,subject1,picking_up,2021-11-19 15:24:04.759,2021-11-19 15:24:07.956,2021-11-19 15:24:58.738,2021-11-19 15:25:05.234,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/picking_up/person17_1.subject1.picking_up.csv
subject17_1,subject1,fall,2021-11-19 15:24:22.713,2021-11-19 15:24:26.183,2021-11-19 15:25:12.041,2021-11-19 15:25:21.000,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/fall/person17_1.subject1.fall.csv
subject17_1,subject1,standing,2021-11-19 15:24:46.684,2021-11-19 15:25:02.140,2021-11-19 15:19:43.183,2021-11-19 15:19:53.480,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/standing/person17_1.subject1.standing.csv
subject17_1,subject1,crouching,2021-11-19 15:25:07.553,2021-11-19 15:25:19.793,2021-11-19 15:19:59.010,2021-11-19 15:20:03.515,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/crouching/person17_1.subject1.crouching.csv
subject17_1,subject1,walking,2021-11-19 15:25:25.792,2021-11-19 15:25:31.350,2021-11-19 15:20:11.026,2021-11-19 15:20:22.479,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/walking/person17_1.subject1.walking.csv
subject17_1,subject1,running,2021-11-19 15:25:37.381,2021-11-19 15:25:40.928,2021-11-19 15:20:30.161,2021-11-19 15:20:35.199,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject1/running/person17_1.subject1.running.csv
subject17_1,subject17,standing,2021-11-19 15:19:43.179,2021-11-19 15:19:53.482,2021-11-19 15:19:43.186,2021-11-19 15:19:53.476,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/standing/person17_1.subject17.standing.csv
subject17_1,subject17,crouching,2021-11-19 15:19:59.002,2021-11-19 15:20:03.516,2021-11-19 15:19:59.009,2021-11-19 15:20:03.507,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/crouching/person17_1.subject17.crouching.csv
subject17_1,subject17,walking,2021-11-19 15:20:11.019,2021-11-19 15:20:22.483,2021-11-19 15:20:11.021,2021-11-19 15:20:22.475,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/walking/person17_1.subject17.walking.csv
subject17_1,subject17,running,2021-11-19 15:20:30.154,2021-11-19 15:20:35.202,2021-11-19 15:20:30.158,2021-11-19 15:20:35.193,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/running/person17_1.subject17.running.csv
subject17_1,subject17,checking_time,2021-11-19 15:20:41.875,2021-11-19 15:20:47.547,2021-11-19 15:20:41.881,2021-11-19 15:20:47.543,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/checking_time/person17_1.subject17.checking_time.csv
subject17_1,subject17,waving_hand,2021-11-19 15:20:53.650,2021-11-19 15:20:57.426,2021-11-19 15:20:53.653,2021-11-19 15:20:57.425,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/waving_hand/person17_1.subject17.waving_hand.csv
subject17_1,subject17,using_phone,2021-11-19 15:21:04.331,2021-11-19 15:21:12.955,2021-11-19 15:21:04.332,2021-11-19 15:21:12.950,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/using_phone/person17_1.subject17.using_phone.csv
subject17_1,subject17,talking_on_phone,2021-11-19 15:21:20.034,2021-11-19 15:21:27.122,2021-11-19 15:21:20.035,2021-11-19 15:21:27.121,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/talking_on_phone/person17_1.subject17.talking_on_phone.csv
subject17_1,subject17,kicking,2021-11-19 15:21:45.076,2021-11-19 15:21:48.015,2021-11-19 15:21:45.085,2021-11-19 15:21:48.011,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/kicking/person17_1.subject17.kicking.csv
subject17_1,subject17,pointing,2021-11-19 15:21:57.476,2021-11-19 15:22:00.644,2021-11-19 15:21:57.485,2021-11-19 15:22:00.640,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/pointing/person17_1.subject17.pointing.csv
subject17_1,subject17,throwing,2021-11-19 15:22:05.355,2021-11-19 15:22:18.086,2021-11-19 15:22:05.358,2021-11-19 15:22:18.077,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/throwing/person17_1.subject17.throwing.csv
subject17_1,subject17,jumping,2021-11-19 15:22:23.450,2021-11-19 15:22:26.819,2021-11-19 15:22:23.451,2021-11-19 15:22:26.815,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/jumping/person17_1.subject17.jumping.csv
subject17_1,subject17,setting_down,2021-11-19 15:22:39.158,2021-11-19 15:22:43.234,2021-11-19 15:22:39.167,2021-11-19 15:22:43.227,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/setting_down/person17_1.subject17.setting_down.csv
subject17_1,subject17,talking,2021-11-19 15:22:49.772,2021-11-19 15:23:01.106,2021-11-19 15:22:49.776,2021-11-19 15:23:01.103,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/talking/person17_1.subject17.talking.csv
subject17_1,subject17,carrying_heavy,2021-11-19 15:23:27.852,2021-11-19 15:23:37.135,2021-11-19 15:23:27.856,2021-11-19 15:23:37.132,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/carrying_heavy/person17_1.subject17.carrying_heavy.csv
subject17_1,subject17,loitering,2021-11-19 15:23:56.026,2021-11-19 15:24:05.865,2021-11-19 15:23:56.033,2021-11-19 15:24:05.856,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/loitering/person17_1.subject17.loitering.csv
subject17_1,subject17,transferring_object,2021-11-19 15:24:33.474,2021-11-19 15:24:43.558,2021-11-19 15:24:33.476,2021-11-19 15:24:43.549,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/transferring_object/person17_1.subject17.transferring_object.csv
subject17_1,subject17,picking_up,2021-11-19 15:24:58.731,2021-11-19 15:25:05.235,2021-11-19 15:24:58.738,2021-11-19 15:25:05.228,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/picking_up/person17_1.subject17.picking_up.csv
subject17_1,subject17,fall,2021-11-19 15:25:12.035,2021-11-19 15:25:21.002,2021-11-19 15:25:12.036,2021-11-19 15:25:20.994,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person17_1/subject17/fall/person17_1.subject17.fall.csv
subject18_19,subject18,standing,2021-11-19 15:31:53.203,2021-11-19 15:32:02.554,2021-11-19 15:36:58.220,2021-11-19 15:37:06.013,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person18_19/subject18/standing/person18_19.subject18.standing.csv
